NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
7,Jaylen Brown,SG,6-6,223,1996-10-24,US,4,California,BOS
4,Carsen Edwards,SG,5-11,200,1998-03-12,US,1,Purdue,BOS
99,Tacko Fall,C,7-6,311,1995-12-10,SN,1,Central Florida,BOS
94,Evan Fournier,SG,6-7,205,1992-10-29,FR,8,,BOS
43,Javonte Green,SF,6-4,205,1993-07-23,US,1,Radford,BOS
40,Luke Kornet,C,7-2,250,1995-07-15,US,3,Vanderbilt,BOS
45,Romeo Langford,SG,6-4,216,1999-10-25,US,1,Indiana,BOS
26,Aaron Nesmith,SF,6-5,215,1999-10-16,US,R,Vanderbilt,BOS
37,Semi Ojeleye,PF,6-6,240,1994-12-05,US,3,"Duke, SMU",BOS
20,Jabari Parker,PF,6-8,245,1995-03-15,US,6,Duke,BOS
11,Payton Pritchard,SG,6-1,195,1998-01-28,US,R,Oregon,BOS
36,Marcus Smart,PG,6-3,220,1994-03-06,US,6,Oklahoma State,BOS
0,Jayson Tatum,SF,6-8,210,1998-03-03,US,3,Duke,BOS
55,Jeff Teague,PG,6-3,195,1988-06-10,US,11,Wake Forest,BOS
27,Daniel Theis,C,6-8,245,1992-04-04,DE,3,,BOS
13,Tristan Thompson,PF,6-9,254,1991-03-13,CA,9,Texas,BOS
20,Moritz Wagner,C,6-11,245,1997-04-26,DE,2,Michigan,BOS
8,Kemba Walker,PG,6-0,184,1990-05-08,US,9,UConn,BOS
51,Tremont Waters,PG,5-10,175,1998-01-10,US,1,LSU,BOS
12,Grant Williams,PF,6-6,236,1998-11-30,US,1,Tennessee,BOS
44,Robert Williams,C,6-9,237,1997-10-17,US,2,Texas A&M,BOS
