NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
5,Al-Farouq Aminu,PF,6-8,220,1990-09-21,US,10,Wake Forest,CHI
51,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,3,Villanova,CHI
7,Troy Brown Jr.,SF,6-6,215,1999-07-28,US,2,Oregon,CHI
34,Wendell Carter Jr.,C,6-10,270,1999-04-16,US,2,Duke,CHI
3,Devon Dotson,PG,6-2,185,1999-08-02,US,R,Kansas,CHI
6,Cristiano Felício,C,6-11,270,1992-07-07,BR,5,,CHI
12,Daniel Gafford,PF,6-10,234,1998-10-01,US,1,Arkansas,CHI
11,Javonte Green,SG,6-4,205,1993-07-23,US,1,Radford,CHI
15,Chandler Hutchison,SF,6-6,210,1996-04-26,US,2,Boise State,CHI
2,Luke Kornet,PF,7-2,250,1995-07-15,US,3,Vanderbilt,CHI
8,Zach LaVine,SG,6-5,200,1995-03-10,US,6,UCLA,CHI
24,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,3,Arizona,CHI
20,Adam Mokoka,SG,6-4,190,1998-07-18,FR,1,,CHI
22,Otto Porter Jr.,SF,6-8,198,1993-06-03,US,7,Georgetown,CHI
31,Tomáš Satoranský,SG,6-7,210,1991-10-30,CZ,4,,CHI
17,Garrett Temple,SG,6-5,195,1986-05-08,US,10,LSU,CHI
27,Daniel Theis,C,6-8,245,1992-04-04,DE,3,,CHI
45,Denzel Valentine,SG,6-4,220,1993-11-16,US,3,Michigan State,CHI
9,Nikola Vučević,C,6-10,260,1990-10-24,CH,9,USC,CHI
0,Coby White,PG,6-5,195,2000-02-16,US,1,UNC,CHI
"9, 44",Patrick Williams,PF,6-7,215,2001-08-26,US,R,Florida State,CHI
21,Thaddeus Young,PF,6-8,235,1988-06-21,US,13,Georgia Tech,CHI
