NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
31,Jarrett Allen,C,6-11,243,1998-04-21,US,3,Texas,CLE
24,Marques Bolden,C,6-10,249,1998-04-17,US,1,Duke,CLE
4,Quinn Cook,PG,6-1,180,1993-03-23,US,4,Duke,CLE
18,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,7,Saint Mary's,CLE
21,Damyean Dotson,SG,6-5,210,1994-05-06,US,3,"Oregon, Houston",CLE
3,Andre Drummond,C,6-10,279,1993-08-10,US,8,UConn,CLE
1,Dante Exum,SG,6-5,214,1995-07-13,AU,5,,CLE
5,Yogi Ferrell,PG,6-0,178,1993-05-09,US,4,Indiana,CLE
10,Darius Garland,PG,6-1,192,2000-01-26,US,1,Vanderbilt,CLE
55,Isaiah Hartenstein,C,7-0,250,1998-05-05,US,2,,CLE
27,Mfiondu Kabengele,PF,6-9,250,1997-08-14,CA,1,Florida State,CLE
0,Kevin Love,PF,6-8,251,1988-09-07,US,12,UCLA,CLE
14,Thon Maker,C,7-0,221,1997-02-25,SS,4,,CLE
3,Jeremiah Martin,PG,6-3,185,1996-06-19,US,1,Memphis,CLE
6,JaVale McGee,C,7-0,270,1988-01-19,US,12,Nevada,CLE
22,Larry Nance Jr.,PF,6-7,245,1993-01-01,US,5,Wyoming,CLE
35,Isaac Okoro,SG,6-5,225,2001-01-26,US,R,Auburn,CLE
16,Cedi Osman,SF,6-7,230,1995-04-08,MK,3,,CLE
12,Taurean Prince,PF,6-7,218,1994-03-22,US,4,Baylor,CLE
2,Collin Sexton,SG,6-1,190,1999-01-04,US,2,Alabama,CLE
8,Lamar Stevens,PF,6-6,230,1997-07-09,US,R,Penn State,CLE
33,Brodric Thomas,SG,6-5,185,1997-01-28,US,R,Truman State University,CLE
17,Anderson Varejão,C,6-11,273,1982-09-28,BR,13,,CLE
32,Dean Wade,PF,6-9,228,1996-11-20,US,1,Kansas State,CLE
9,Dylan Windler,SF,6-6,196,1996-09-22,US,R,Belmont,CLE
