NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
88,Goga Bitadze,C,6-11,250,1999-07-20,GE,1,,IND
10,Brian Bowen,SF,6-6,190,1998-10-02,US,1,,IND
37,Amida Brimah,C,6-10,230,1994-02-11,GH,R,UConn,IND
12,Oshae Brissett,SF,6-7,210,1998-06-20,CA,1,Syracuse,IND
7,Malcolm Brogdon,PG,6-5,229,1992-12-11,US,4,Virginia,IND
3,Aaron Holiday,PG,6-0,185,1996-09-30,US,2,UCLA,IND
8,Justin Holiday,SG,6-6,180,1989-04-05,US,7,Washington,IND
26,Jeremy Lamb,SG,6-5,180,1992-05-30,US,8,UConn,IND
0,Jalen Lecque,PG,6-4,185,2000-06-13,US,1,,IND
22,Caris LeVert,SG,6-6,205,1994-08-25,US,4,Michigan,IND
21,Kelan Martin,SF,6-5,230,1995-08-03,US,1,Butler,IND
9,T.J. McConnell,PG,6-1,190,1992-03-25,US,5,"Duquesne, Arizona",IND
20,Doug McDermott,PF,6-7,225,1992-01-03,US,6,Creighton,IND
4,Victor Oladipo,SG,6-4,213,1992-05-04,US,7,Indiana,IND
11,Domantas Sabonis,PF,6-11,240,1996-05-03,US,4,Gonzaga,IND
14,JaKarr Sampson,PF,6-7,214,1993-03-20,US,5,St. John's,IND
2,Cassius Stanley,SG,6-5,190,1999-08-18,US,R,Duke,IND
5,Edmond Sumner,SG,6-4,196,1995-12-31,US,3,Xavier,IND
33,Myles Turner,C,6-11,250,1996-03-24,US,5,Texas,IND
1,T.J. Warren,SF,6-8,220,1993-09-05,US,6,NC State,IND
