NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
33,Nicolas Batum,SF,6-8,230,1988-12-14,FR,12,,LAC
21,Patrick Beverley,PG,6-1,180,1988-07-12,US,8,Arkansas,LAC
7,Amir Coffey,SG,6-7,210,1997-06-17,US,1,Minnesota,LAC
15,DeMarcus Cousins,C,6-10,270,1990-08-13,US,9,Kentucky,LAC
11,Yogi Ferrell,PG,6-0,178,1993-05-09,US,4,Indiana,LAC
24,Malik Fitts,PF,6-8,230,1997-07-04,US,R,"South Florida, Saint Mary's",LAC
13,Paul George,SF,6-8,220,1990-05-02,US,10,Fresno State,LAC
9,Serge Ibaka,C,6-10,235,1989-09-18,CG,11,,LAC
1,Reggie Jackson,SG,6-2,208,1990-04-16,IT,9,Boston College,LAC
25,Mfiondu Kabengele,PF,6-9,250,1997-08-14,CA,1,Florida State,LAC
5,Luke Kennard,SG,6-5,206,1996-06-24,US,3,Duke,LAC
2,Kawhi Leonard,SF,6-7,225,1991-06-29,US,9,San Diego State,LAC
14,Terance Mann,SG,6-5,215,1996-10-18,US,1,Florida State,LAC
8,Marcus Morris,PF,6-8,218,1989-09-02,US,9,Kansas,LAC
10,Daniel Oturu,C,6-8,240,1999-09-20,US,R,Minnesota,LAC
54,Patrick Patterson,PF,6-8,235,1989-03-14,US,10,Kentucky,LAC
4,Rajon Rondo,PG,6-1,180,1986-02-22,US,14,Kentucky,LAC
0,Jay Scrubb,SG,6-5,220,2000-09-01,US,R,John A. Logan College,LAC
23,Lou Williams,PG,6-1,175,1986-10-27,US,15,,LAC
40,Ivica Zubac,C,7-0,240,1997-03-18,BA,4,,LAC
