NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
5,Malik Beasley,SG,6-4,187,1996-11-26,US,4,Florida State,MIN
23,Jarrett Culver,SG,6-6,195,1999-02-20,US,1,Texas Tech,MIN
17,Ed Davis,C,6-9,218,1989-06-05,US,10,UNC,MIN
1,Anthony Edwards,SG,6-4,225,2001-08-05,US,R,Georgia,MIN
22,Ashton Hagans,PG,6-3,190,1999-07-08,US,R,Kentucky,MIN
41,Juancho Hernangómez,PF,6-9,214,1995-09-28,ES,4,,MIN
10,Jake Layman,SF,6-8,209,1994-03-07,US,4,Maryland,MIN
3,Jaden McDaniels,PF,6-9,185,2000-09-29,US,R,Washington,MIN
6,Jordan McLaughlin,PG,5-11,185,1996-04-09,US,1,USC,MIN
4,Jaylen Nowell,SG,6-4,201,1999-07-09,US,1,Washington,MIN
20,Josh Okogie,SG,6-4,213,1998-09-01,NG,2,Georgia Tech,MIN
11,Naz Reid,C,6-9,264,1999-08-26,US,1,LSU,MIN
9,Ricky Rubio,PG,6-2,190,1990-10-21,ES,9,,MIN
0,D'Angelo Russell,PG,6-4,193,1996-02-23,US,5,Ohio State,MIN
32,Karl-Anthony Towns,C,6-11,248,1995-11-15,US,5,Kentucky,MIN
8,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,2,Kentucky,MIN
