NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
0,Ty-Shon Alexander,SG,6-3,195,1998-07-16,US,R,Creighton,PHO
22,Deandre Ayton,C,6-11,250,1998-07-23,BS,2,Arizona,PHO
1,Devin Booker,SG,6-5,206,1996-10-30,US,5,Kentucky,PHO
25,Mikal Bridges,SF,6-6,209,1996-08-30,US,2,Villanova,PHO
4,Jevon Carter,PG,6-1,200,1995-09-14,US,2,West Virginia,PHO
12,Torrey Craig,SF,6-7,221,1990-12-19,US,3,USC Upstate,PHO
99,Jae Crowder,PF,6-6,235,1990-07-06,US,8,Marquette,PHO
2,Langston Galloway,SG,6-1,200,1991-12-09,US,6,Saint Joseph's,PHO
23,Cameron Johnson,PF,6-8,210,1996-03-03,US,1,"Pitt, UNC",PHO
30,Damian Jones,C,6-11,245,1995-06-30,US,4,Vanderbilt,PHO
8,Frank Kaminsky,C,7-0,240,1993-04-04,US,5,Wisconsin,PHO
55,E'Twaun Moore,SG,6-3,191,1989-02-25,US,9,Purdue,PHO
11,Abdel Nader,SF,6-5,225,1993-09-25,EG,3,"Northern Illinois, Iowa State",PHO
3,Chris Paul,PG,6-0,175,1985-05-06,US,15,Wake Forest,PHO
15,Cameron Payne,PG,6-1,183,1994-08-08,US,5,Murray State,PHO
20,Dario Šarić,C,6-10,225,1994-04-08,HR,4,,PHO
10,Jalen Smith,PF,6-10,215,2000-03-16,US,R,Maryland,PHO
