NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
12,LaMarcus Aldridge,C,6-11,250,1985-07-19,US,14,Texas,SAS
31,Keita Bates-Diop,SF,6-8,229,1996-01-23,US,2,Ohio State,SAS
10,DeMar DeRozan,PF,6-6,220,1989-08-07,US,11,USC,SAS
7,Gorgui Dieng,C,6-10,252,1990-01-18,SN,7,Louisville,SAS
14,Drew Eubanks,C,6-9,245,1997-02-01,US,2,Oregon State,SAS
22,Rudy Gay,PF,6-8,250,1986-08-17,US,14,UConn,SAS
3,Keldon Johnson,SF,6-5,220,1999-10-11,US,1,Kentucky,SAS
33,Tre Jones,PG,6-1,185,2000-01-08,US,R,Duke,SAS
41,Trey Lyles,PF,6-9,234,1995-11-05,CA,5,Kentucky,SAS
8,Patty Mills,PG,6-1,180,1988-08-11,AU,11,Saint Mary's,SAS
5,Dejounte Murray,PG,6-4,180,1996-09-19,US,3,Washington,SAS
25,Jakob Poeltl,C,7-1,245,1995-10-15,AT,4,Utah,SAS
23,Cameron Reynolds,SF,6-7,225,1995-02-07,US,1,Tulane,SAS
19,Luka Šamanić,PF,6-10,227,2000-01-09,HR,1,,SAS
24,Devin Vassell,SF,6-5,200,2000-08-23,US,R,Florida State,SAS
1,Lonnie Walker IV,SG,6-4,204,1998-12-14,US,2,Miami (FL),SAS
15,Quinndary Weatherspoon,SG,6-3,205,1996-09-10,US,1,Mississippi State,SAS
4,Derrick White,SG,6-4,190,1994-07-02,US,3,"Colorado-Colorado Springs, Colorado",SAS
