NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
9,Deni Avdija,SF,6-9,210,2001-01-03,IL,R,,WAS
3,Bradley Beal,SG,6-4,207,1993-06-28,US,8,Florida,WAS
7,Jordan Bell,C,6-8,216,1995-01-07,US,3,Oregon,WAS
42,Dāvis Bertāns,PF,6-10,225,1992-11-12,LV,4,,WAS
17,Isaac Bonga,SF,6-8,180,1999-11-08,DE,2,,WAS
6,Troy Brown Jr.,SF,6-6,215,1999-07-28,US,2,Oregon,WAS
13,Thomas Bryant,C,6-10,248,1997-07-31,US,3,Indiana,WAS
21,Daniel Gafford,C,6-10,234,1998-10-01,US,1,Arkansas,WAS
16,Anthony Gill,PF,6-7,230,1992-10-17,US,R,"South Carolina, Virginia",WAS
8,Rui Hachimura,PF,6-8,230,1998-02-08,JP,1,Gonzaga,WAS
1,Chandler Hutchison,SF,6-6,210,1996-04-26,US,2,Boise State,WAS
27,Alex Len,C,7-0,250,1993-06-16,UA,7,Maryland,WAS
15,Robin Lopez,C,7-0,281,1988-04-01,US,12,Stanford,WAS
24,Garrison Mathews,SG,6-5,215,1996-10-24,US,1,Lipscomb,WAS
19,Raul Neto,PG,6-1,180,1992-05-19,BR,5,,WAS
18,Anžejs Pasečņiks,C,7-1,229,1995-12-20,LV,1,,WAS
12,Jerome Robinson,SG,6-4,190,1997-02-22,US,2,Boston College,WAS
14,Ish Smith,PG,6-0,175,1988-07-05,US,10,Wake Forest,WAS
21,Moritz Wagner,C,6-11,245,1997-04-26,DE,2,Michigan,WAS
4,Russell Westbrook,PG,6-3,200,1988-11-12,US,12,UCLA,WAS
5,Cassius Winston,PG,6-1,185,1998-02-28,US,R,Michigan State,WAS
